"scientific_name","decimal_latitude","decimal_longitude","where_obtained_coordinates","total_num_specimens"
"Bombus bimaculatus","35.99388889","-78.7","dataset provided",4
"Bombus citrinus","35.7161","-78.6744","dataset provided",1
"Bombus citrinus","35.725803","-78.675125","dataset provided",1
"Bombus citrinus","35.76666667","-78.63333333","google earth - Raleigh",1
"Bombus citrinus","35.772","-78.639","dataset provided",5
"Bombus citrinus","35.867","-78.648","dataset provided",2
"Bombus citrinus","35.926","-78.601","dataset provided",2
"Bombus fervidus","35.728262","-78.671637","dataset provided",1
"Bombus fraternus","35.65","-78.68333333","google earth - McCullers, Garner",1
"Bombus fraternus","35.725803","-78.675125","dataset provided",5
"Bombus fraternus","35.76666667","-78.63333333","google earth - Raleigh",13
"Bombus fraternus","35.77194","-78.63861","dataset provided",1
"Bombus fraternus","35.77194","-78.63889","dataset provided",1
"Bombus fraternus","35.77194444","-78.63861111","dataset provided",1
"Bombus fraternus","35.78333333","-78.68333333","google earth - 440 Gorman St",1
"Bombus griseocollis","35.630937","-78.866675","dataset provided",1
"Bombus griseocollis","35.654614","-78.796991","dataset provided",1
"Bombus griseocollis","35.717867","-78.906525","dataset provided",1
"Bombus griseocollis","35.718135","-78.906323","dataset provided",1
"Bombus griseocollis","35.718153","-78.906327","dataset provided",1
